                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8632,                 0.7348,                 1.1753,                0.78507,                0.78563,                0.79971,                0.66271,                0.68693,                0.80669,                 1.1382,             0.00074804,             0.00074804,             0.00074804
                     36,                0.84679,                0.74277,                  1.183,                 0.7557,                0.76448,                0.80326,                0.66835,                0.68674,                0.80244,                 1.1565,             0.00073704,             0.00073704,             0.00073704
                     37,                0.84933,                0.72995,                 1.1637,                0.94436,                0.78299,                0.83457,                 0.6757,                0.77407,                0.71557,                 1.2215,             0.00072604,             0.00072604,             0.00072604
                     38,                0.85886,                 0.7211,                 1.1827,                0.90205,                0.79043,                0.84007,                0.69902,                0.71763,                0.68258,                 1.2005,             0.00071504,             0.00071504,             0.00071504
                     39,                0.87926,                0.70285,                 1.1918,                 0.8649,                0.77387,                0.83035,                0.69058,                0.69484,                0.67367,                  1.157,             0.00070404,             0.00070404,             0.00070404
                     40,                0.83345,                0.68494,                 1.1621,                0.82065,                0.76995,                0.80522,                0.65989,                0.72244,                0.74539,                  1.212,             0.00069304,             0.00069304,             0.00069304
                     41,                0.83183,                0.69797,                 1.1617,                0.87152,                0.79282,                 0.8553,                0.71115,                0.67064,                0.66648,                 1.1462,             0.00068204,             0.00068204,             0.00068204
                     42,                0.81294,                0.67195,                 1.1411,                0.89617,                0.78187,                0.83576,                 0.6877,                0.71395,                0.72338,                 1.1584,             0.00067104,             0.00067104,             0.00067104
                     43,                0.81972,                0.70086,                 1.1473,                0.73814,                0.77446,                0.81022,                0.67222,                0.71342,                0.82144,                 1.1703,             0.00066005,             0.00066005,             0.00066005
                     44,                0.80689,                0.67469,                 1.1412,                0.79377,                0.81057,                0.83264,                0.69053,                0.69241,                0.68798,                 1.1268,             0.00064905,             0.00064905,             0.00064905
                     45,                0.81697,                0.67374,                 1.1352,                0.86669,                0.80323,                0.85098,                0.71518,                0.66812,                0.63271,                 1.1088,             0.00063805,             0.00063805,             0.00063805
                     46,                0.78979,                0.63848,                  1.113,                0.71337,                0.68588,                   0.75,                 0.6161,                  0.708,                0.88235,                 1.1263,             0.00062705,             0.00062705,             0.00062705
                     47,                0.78611,                0.65771,                 1.1284,                0.88183,                0.77933,                0.85102,                0.71036,                0.68156,                0.65782,                 1.1085,             0.00061605,             0.00061605,             0.00061605
                     48,                 0.7837,                 0.6412,                 1.1351,                0.82655,                0.77393,                0.82528,                0.68293,                0.69972,                 0.8231,                 1.1172,             0.00060505,             0.00060505,             0.00060505
                     49,                0.78127,                 0.6234,                 1.1143,                0.91266,                0.80053,                0.85859,                0.70781,                0.70786,                 0.6451,                  1.124,             0.00059405,             0.00059405,             0.00059405
